ID	X-coordinate	Y-coordinate	clay	silt	sand_f	sand_c	humus
241	535027.32	6248018.10	11.315	7.645	37.513	43.527	1.900
243	535021.62	6248037.30	6.795	5.882	30.832	56.491	1.300
245	535115.32	6247794.10	9.684	11.315	43.119	35.882	1.900
247	535109.52	6247813.30	10.380	16.444	42.343	30.832	2.700
249	535103.82	6247832.40	11.873	13.715	43.193	31.218	2.300
251	535098.12	6247851.60	13.292	14.826	42.229	29.652	2.100
253	535092.32	6247870.70	12.500	14.652	42.930	29.918	2.300
255	535086.62	6247889.80	11.795	14.359	42.359	31.487	2.400
257	535080.92	6247909.00	8.718	11.385	39.795	40.103	2.500
259	535075.12	6247928.10	7.143	12.526	32.712	47.619	3.300
261	535069.42	6247947.30					34.100
263	535063.72	6247966.40					26.400
265	535057.92	6247985.60	9.360	7.820	37.204	45.616	15.500
267	535052.22	6248004.70	7.668	10.052	35.855	46.425	3.600
269	535046.52	6248023.90	10.123	9.816	32.822	47.239	2.100
271	535040.72	6248043.00	6.918	7.325	30.112	55.646	1.700
273	535134.42	6247799.90	9.184	11.735	43.265	35.816	2.000
275	535128.72	6247819.00	9.907	17.544	38.700	33.849	3.200
277	535123.02	6247838.10	11.385	14.256	37.949	36.410	2.500
279	535117.22	6247857.30	12.897	15.865	42.579	28.659	2.300
281	535111.52	6247876.40	11.487	14.667	43.282	30.564	2.500
283	535105.82	6247895.60	9.362	12.860	40.947	36.831	2.900
285	535100.02	6247914.70	6.764	11.030	37.045	45.161	4.000
287	535094.32	6247933.90	7.872	10.319	34.894	46.915	6.000
289	535088.62	6247953.00	8.806	6.876	35.947	48.372	17.000
291	535082.82	6247972.20					30.500
293	535077.12	6247991.30					38.800
297	535071.42	6248010.50	9.375	8.036	40.402	42.187	10.400
299	535065.62	6248029.60	7.464	8.384	33.436	50.716	2.200
301	535059.92	6248048.70	6.415	7.434	28.208	57.943	1.900
305	535153.62	6247805.60	9.082	9.796	43.163	37.959	1.900
307	535147.82	6247824.70	10.636	17.623	39.625	32.117	4.100
309	535142.12	6247843.90	10.986	15.298	43.943	29.774	2.600
311	535136.42	6247863.00	11.885	16.291	42.828	28.996	2.400
313	535130.62	6247882.20	9.949	16.821	41.744	31.487	2.500
315	535124.92	6247901.30	10.196	13.491	39.753	36.560	2.800
317	535119.22	6247920.50	6.653	11.538	32.225	49.584	3.800
319	535113.42	6247939.60	9.049	8.820	37.686	44.444	12.800
321	535107.72	6247958.80	12.210	10.501	38.584	38.706	18.200
323	535102.02	6247977.90	12.548	9.759	43.346	34.347	21.200
325	535096.22	6247997.00					26.900
329	535090.52	6248016.20	12.153	10.417	39.583	37.847	13.600
331	535084.82	6248035.30	6.960	8.393	32.037	52.610	2.200
333	535079.02	6248054.50	6.429	7.857	28.980	56.735	2.000
341	535172.72	6247811.30	8.147	10.285	41.955	39.613	1.900
343	535167.02	6247830.50	7.819	12.243	45.782	34.156	2.700
345	535161.22	6247849.60	10.685	17.946	42.946	28.423	3.700
347	535155.52	6247868.80	12.012	17.351	41.273	29.363	2.700
349	535149.82	6247887.90	10.246	13.320	41.393	35.041	2.300
351	535144.02	6247907.00	9.724	13.408	37.052	39.816	2.400
353	535138.32	6247926.20	8.214	11.807	31.828	48.152	2.500
355	535132.62	6247945.30	8.316	11.538	29.730	50.416	3.900
357	535126.82	6247964.50	10.433	9.545	36.737	43.285	9.900
359	535121.12	6247983.60	9.272	8.499	35.651	46.578	9.400
361	535115.42	6248002.80	9.101	9.426	34.561	46.912	7.700
365	535109.62	6248021.90	8.281	10.587	31.237	49.895	4.500
367	535103.92	6248041.10	7.582	9.426	31.660	51.332	2.400
369	535098.22	6248060.20	6.953	8.896	30.777	53.374	2.200
371	535191.92	6247817.10	8.053	10.805	41.896	39.246	1.800
373	535186.12	6247836.20	8.368	14.360	46.281	30.992	3.200
375	535180.42	6247855.30	9.314	13.306	42.068	35.312	2.400
377	535174.72	6247874.50	10.703	15.902	37.920	35.474	1.900
379	535168.92	6247893.60	10.235	12.794	41.965	35.005	2.300
381	535163.22	6247912.80	11.771	12.282	33.572	42.375	2.300
383	535157.52	6247931.90	10.235	11.771	33.367	44.626	2.200
385	535151.72	6247951.10	9.128	10.872	30.564	49.436	2.500
387	535146.02	6247970.20	8.772	11.455	34.572	45.201	3.100
389	535140.32	6247989.40	7.897	13.744	33.128	45.231	2.600
391	535134.52	6248008.50	7.984	9.007	29.478	53.531	2.400
393	535128.82	6248027.70	6.939	6.837	21.837	64.388	1.900
395	535123.12	6248046.80	7.449	7.857	25.816	58.878	1.900
397	535117.32	6248065.90	8.061	8.878	40.714	42.347	2.000
399	535211.02	6247822.80	8.037	9.868	44.252	37.843	1.700
401	535205.32	6247841.90	9.897	13.814	44.021	32.268	2.900
403	535199.52	6247861.10	10.736	12.883	39.775	36.605	2.200
405	535193.82	6247880.20	11.327	12.755	39.796	36.122	2.100
407	535188.12	6247899.40	11.236	12.257	41.164	35.342	2.100
