"x";"y";"ECa";"optional"
"864";535299.5625;6247957;3.14042;TRUE
"868";535298.375;6247974;3.24448;TRUE
"869";535292.3125;6247993;3.28141;TRUE
"870";535304.25;6247963.5;3.25815;TRUE
"871";535300.25;6247968;3.27524;TRUE
"874";535297.5;6247977;3.25718;TRUE
"875";535294.125;6247987.5;3.32606;TRUE
"876";535295.0625;6247984.5;3.29853;TRUE
"879";535296;6247981.5;3.28585;TRUE
"880";535301.875;6247965;3.29225;TRUE
"884";535291.0625;6247996.5;3.23886;TRUE
"964";535296.375;6247956.5;2.99832;TRUE
"965";535292.4375;6247955.5;2.76379;TRUE
"966";535288.375;6247954.5;3.0104;TRUE
"967";535287.25;6247946;3.20061;TRUE
"968";535289.1875;6247938;3.34905;TRUE
"969";535290.6875;6247931.5;3.50418;TRUE
"970";535290.8125;6247921.5;4.06102;TRUE
"971";535292;6247915.5;4.63034;TRUE
"972";535292.8125;6247908;5.4175;TRUE
"973";535294.4375;6247898.5;6.0172;TRUE
"974";535298.1875;6247893;6.21903;TRUE
"975";535301.0625;6247887.5;6.37908;TRUE
"976";535304.3125;6247876.5;6.62057;TRUE
"979";535294.5;6247843;9.13593;TRUE
"980";535297.4375;6247843.5;9.1115;TRUE
"981";535291.625;6247842;8.93241;TRUE
"986";535285.875;6247840.5;8.61219;TRUE
"987";535288.75;6247841.5;8.72139;TRUE
"988";535283;6247839.5;8.41611;TRUE
"989";535243.9375;6247827.5;4.8703;TRUE
"992";535248.625;6247829;5.35228;TRUE
"993";535251.5;6247830;5.58984;TRUE
"995";535237;6247825.5;4.30128;TRUE
"996";535228.375;6247823;3.70372;TRUE
"999";535257.25;6247831.5;5.99005;TRUE
"1000";535262.9375;6247833.5;6.07715;TRUE
"1002";535277.25;6247838;7.6749;TRUE
"1003";535274.375;6247837;7.27448;TRUE
"1004";535280.125;6247838.5;8.09039;TRUE
"1006";535265.8125;6247834.5;6.2741;TRUE
"1007";535302.125;6247870;7.65918;TRUE
"1008";535301.375;6247875.5;7.23394;TRUE
"1009";535302.25;6247863;8.52015;TRUE
"1010";535302.875;6247853;8.85902;TRUE
"1011";535306.0625;6247846;9.11258;TRUE
"1055";535303.75;6247957;3.21589;TRUE
"1056";535302.25;6247958.5;3.20593;TRUE
"1057";535296;6247964.5;3.1746;TRUE
"1058";535302;6247962.5;3.27215;TRUE
"1059";535304.1875;6247960.5;3.25146;TRUE
"1060";535297;6247976;3.2798;TRUE
"1061";535296.9375;6247973;3.26851;TRUE
"1062";535292.1875;6247990;3.35483;TRUE
"1063";535289.625;6247991.5;3.34351;TRUE
"1064";535301.125;6247965;3.30685;TRUE
"1065";535298.875;6247965;3.24092;TRUE
"1066";535295.125;6247971;3.22246;TRUE
"1070";535295.0625;6247978.5;3.26416;TRUE
"1071";535292;6247987;3.33906;TRUE
"1072";535289.5;6247985.5;3.27803;TRUE
"1073";535292.1875;6247979;3.27883;TRUE
"1077";535290.0625;6247999.5;3.21503;TRUE
"1078";535285.75;6247998.5;3.25139;TRUE
"1079";535286.6875;6247991.5;3.31942;TRUE
"1081";535288.5;6248004.5;3.14266;TRUE
"1173";535291.25;6247962.5;3.00179;TRUE
"1174";535288.375;6247962;3.03846;TRUE
"1175";535283.8125;6247953;3.88058;TRUE
"1176";535284.375;6247960.5;3.41939;TRUE
"1177";535284.375;6247945.5;3.88086;TRUE
"1178";535286.375;6247937;3.81183;TRUE
"1179";535287.8125;6247931;3.48945;TRUE
"1180";535287.9375;6247920.5;4.38629;TRUE
"1181";535289.125;6247914.5;4.75302;TRUE
"1182";535289.9375;6247907;5.56033;TRUE
"1183";535291.625;6247897.5;6.11973;TRUE
"1184";535295.3125;6247892;6.36504;TRUE
"1185";535298.125;6247886.5;6.52971;TRUE
"1186";535300.3125;6247844.5;9.23266;TRUE
"1187";535294.25;6247850.5;9.0445;TRUE
"1188";535291.375;6247850;9.22365;TRUE
"1189";535297.125;6247851.5;8.95671;TRUE
"1190";535288.5;6247849;9.18722;TRUE
"1191";535303.1875;6247845.5;9.31249;TRUE
"1192";535282.75;6247847;8.55658;TRUE
"1193";535285.625;6247848;8.94585;TRUE
"1194";535279.9375;6247846;8.19774;TRUE
"1195";535245.125;6247835;4.89455;TRUE
"1196";535240.25;6247833.5;4.33185;TRUE
"1197";535231.25;6247824;3.81715;TRUE
"1198";535234.125;6247824.5;4.0864;TRUE
"1199";535250;6247836.5;5.20687;TRUE
"1200";535254.9375;6247838;5.47917;TRUE
"1201";535235.4375;6247832;3.95475;TRUE
"1202";535225.5;6247822;3.52854;TRUE
"1203";535225.6875;6247829;3.29144;TRUE
"1208";535222.625;6247821;3.41922;TRUE
"1209";535259.8125;6247839.5;5.50265;TRUE
"1210";535264.625;6247841;5.92062;TRUE
"1211";535271.5;6247836;6.85932;TRUE
"1212";535274.1875;6247844.5;7.25924;TRUE
"1213";535277.0625;6247845.5;7.78043;TRUE
"1214";535271.375;6247843.5;6.74955;TRUE
"1215";535268.6875;6247835;6.62192;TRUE
"1216";535299.25;6247869.5;7.95251;TRUE
"1217";535298.5;6247875;7.52308;TRUE
"1218";535299.375;6247862.5;8.71203;TRUE
"1219";535300;6247852.5;8.81789;TRUE
"1269";535292.4375;6247969.5;3.09029;TRUE
"1276";535286.6875;6247984.5;3.21915;TRUE
"1277";535289.125;6247979;3.13475;TRUE
"1279";535287.875;6248003.5;3.24827;TRUE
"1280";535287.875;6248000.5;3.26449;TRUE
"1281";535282.5625;6248006;3.29625;TRUE
"1282";535283;6247997.5;3.33289;TRUE
"1283";535285.5;6248005.5;3.25166;TRUE
"1284";535283.6875;6247991;3.28812;TRUE
"1285";535287.5625;6248007.5;3.13057;TRUE
"1286";535286.6875;6248010;3.11246;TRUE
"1287";535285.75;6248013;2.96761;TRUE
"1294";535284.875;6248016;2.88451;TRUE
"1295";535280.1875;6248029.5;2.79616;TRUE
