"x";"y";"ECa";"optional"
"1228";507749.90625;6082878.5;2.74635;TRUE
"1229";507752;6082878.5;2.83899;TRUE
"1230";507694.46875;6082884;3.08416;TRUE
"1231";507694.0625;6082884;3.08376;TRUE
"1232";507692.375;6082884;3.16383;TRUE
"1233";507698.0625;6082884.5;2.93746;TRUE
"1234";507696.53125;6082885;3.04278;TRUE
"1235";507696.0625;6082885;3.06446;TRUE
"1236";507694.6875;6082885;3.08182;TRUE
"1240";507692.15625;6082884;3.17532;TRUE
"1241";507690.78125;6082884;3.06737;TRUE
"1242";507690.09375;6082884;3.02825;TRUE
"1324";507752.09375;6082881.5;2.43956;TRUE
"1325";507752.0625;6082880.5;2.57701;TRUE
"1326";507752.03125;6082879.5;2.7509;TRUE
"1327";507752.15625;6082882.5;2.32727;TRUE
"1330";507711.90625;6082883;2.58399;TRUE
"1331";507713.125;6082882.5;2.70364;TRUE
"1332";507713.90625;6082882.5;2.76969;TRUE
"1333";507710.65625;6082882;2.57708;TRUE
"1334";507711.21875;6082883;2.60712;TRUE
"1335";507728.90625;6082885.5;3.11911;TRUE
"1336";507730.53125;6082885;2.8978;TRUE
"1337";507730.9375;6082884.5;2.77517;TRUE
"1338";507721.90625;6082887;3.28145;TRUE
"1339";507717.78125;6082886;2.87715;TRUE
"1340";507718.40625;6082887;2.98251;TRUE
"1341";507719.65625;6082886.5;3.23687;TRUE
"1342";507720.21875;6082887;3.29774;TRUE
"1343";507721.46875;6082887;3.41955;TRUE
"1344";507716.34375;6082885.5;2.73208;TRUE
"1345";507715.84375;6082885;2.72523;TRUE
"1346";507714;6082884.5;2.67604;TRUE
"1347";507714.09375;6082884.5;2.60373;TRUE
"1348";507723.78125;6082886.5;3.446;TRUE
"1349";507723.40625;6082887;3.43003;TRUE
"1350";507725.25;6082886;3.44259;TRUE
"1351";507726.8125;6082886;3.32207;TRUE
"1352";507727.09375;6082886.5;3.36484;TRUE
"1353";507728.5;6082886;3.24425;TRUE
"1354";507734.03125;6082882.5;2.86636;TRUE
"1355";507733.9375;6082882;2.7863;TRUE
"1356";507732.4375;6082884;2.8343;TRUE
"1357";507734.15625;6082883.5;2.66063;TRUE
"1358";507735.625;6082881;2.99906;TRUE
"1359";507736.84375;6082880.5;2.9613;TRUE
"1362";507737.34375;6082879.5;3.05789;TRUE
"1365";507714;6082883.5;2.77627;TRUE
"1366";507705.8125;6082882.5;2.95671;TRUE
"1367";507704.1875;6082883;3.23276;TRUE
"1368";507704.875;6082883;3.06443;TRUE
"1369";507706.75;6082883;2.81367;TRUE
"1370";507707.6875;6082882.5;2.69525;TRUE
"1371";507706.25;6082882.5;2.88916;TRUE
"1372";507708.40625;6082882.5;2.67671;TRUE
"1373";507709.78125;6082883;2.59222;TRUE
"1374";507709;6082883.5;2.64734;TRUE
"1378";507698.6875;6082885;2.89527;TRUE
"1379";507700.625;6082885;2.97982;TRUE
"1380";507700.0625;6082885;2.89736;TRUE
"1381";507702.34375;6082884.5;3.16214;TRUE
"1382";507704;6082883.5;3.22185;TRUE
"1385";507744;6082879.5;2.94126;TRUE
"1386";507742.84375;6082879.5;2.97509;TRUE
"1387";507745.0625;6082879.5;2.92351;TRUE
"1388";507746.5;6082879;2.77254;TRUE
"1389";507745.78125;6082880;2.85912;TRUE
"1390";507746.59375;6082880;2.79627;TRUE
"1391";507747.625;6082880;2.69702;TRUE
"1392";507749.90625;6082879;2.81248;TRUE
"1393";507748.15625;6082880;2.66809;TRUE
"1394";507750.3125;6082879.5;2.71651;TRUE
"1395";507694.125;6082885;3.04834;TRUE
"1396";507692.5;6082885;3.14461;TRUE
"1397";507692.375;6082885;3.14405;TRUE
"1398";507698.15625;6082885.5;2.86505;TRUE
"1399";507696.78125;6082886;2.96584;TRUE
"1400";507696.09375;6082886;2.97981;TRUE
"1401";507694.875;6082886;3.05294;TRUE
"1402";507694.1875;6082886;2.98988;TRUE
"1404";507690.71875;6082885;3.06308;TRUE
"1405";507690.4375;6082885;3.06356;TRUE
"1406";507688.71875;6082884.5;3.0195;TRUE
"1505";507752.25;6082883.5;2.2035;TRUE
"1506";507752.34375;6082884.5;2.07822;TRUE
"1507";507752.4375;6082885.5;2.01706;TRUE
"1508";507751.0625;6082882.5;2.3914;TRUE
"1509";507750.875;6082881.5;2.49966;TRUE
"1510";507750.625;6082880.5;2.59336;TRUE
"1511";507751.25;6082883.5;2.30082;TRUE
"1512";507712;6082884;2.62452;TRUE
"1513";507711.65625;6082884;2.60166;TRUE
"1514";507713.625;6082883.5;2.6622;TRUE
"1515";507709.90625;6082884;2.62329;TRUE
"1516";507729.1875;6082886.5;3.0113;TRUE
"1517";507730.625;6082886;2.86771;TRUE
"1518";507731.15625;6082885.5;2.77357;TRUE
"1519";507732.5;6082885;2.66707;TRUE
"1520";507732.59375;6082884.5;2.66086;TRUE
"1521";507722.125;6082888;3.45841;TRUE
"1522";507716.59375;6082886.5;2.63578;TRUE
"1523";507717.875;6082887;2.82466;TRUE
"1524";507718.625;6082888;2.89752;TRUE
"1525";507719.75;6082887.5;3.11548;TRUE
"1526";507720.40625;6082888;3.25468;TRUE
"1527";507721.53125;6082888;3.43121;TRUE
"1528";507715.90625;6082886;2.6438;TRUE
"1529";507714.34375;6082885;2.54106;TRUE
"1530";507714.59375;6082886;2.43504;TRUE
"1531";507712.0625;6082884.5;2.59062;TRUE
"1532";507712.40625;6082885.5;2.43423;TRUE
"1533";507714.1875;6082885.5;2.45737;TRUE
"1534";507712.0625;6082885;2.57367;TRUE
"1535";507724.03125;6082887.5;3.61822;TRUE
"1536";507725.34375;6082887;3.50207;TRUE
"1537";507723.46875;6082888;3.44817;TRUE
"1538";507725.5625;6082887;3.5485;TRUE
"1539";507726.90625;6082887;3.3112;TRUE
"1540";507727.375;6082887.5;3.3854;TRUE
"1541";507728.59375;6082887;3.1311;TRUE
"1542";507734.28125;6082882.5;2.66851;TRUE
"1543";507735.71875;6082882;2.86939;TRUE
"1544";507734.25;6082884.5;2.47675;TRUE
"1545";507734.59375;6082883.5;2.44954;TRUE
"1546";507735.8125;6082881.5;2.84338;TRUE
"1547";507737.3125;6082881;2.89738;TRUE
"1548";507737.40625;6082880.5;2.97908;TRUE
"1550";507738.59375;6082879.5;3.00124;TRUE
"1552";507739.59375;6082879;3.00193;TRUE
"1553";507705.96875;6082883;2.95631;TRUE
"1554";507705.90625;6082883.5;3.00153;TRUE
"1555";507704.46875;6082884;3.16128;TRUE
"1556";507705.40625;6082884;2.99912;TRUE
"1557";507707.28125;6082883.5;2.79928;TRUE
"1558";507706.34375;6082883.5;2.90996;TRUE
"1559";507708.4375;6082883.5;2.69316;TRUE
"1560";507707.8125;6082883.5;2.73699;TRUE
"1561";507708.34375;6082883.5;2.72408;TRUE
"1562";507709.5;6082884.5;2.61347;TRUE
"1563";507708.4375;6082884.5;2.75924;TRUE
"1565";507698.90625;6082886;2.85034;TRUE
"1566";507702.40625;6082884.5;3.08371;TRUE
"1567";507702.34375;6082885.5;3.06909;TRUE
"1568";507700.8125;6082886;2.92443;TRUE
"1569";507700.125;6082886;2.79881;TRUE
"1570";507704;6082884.5;3.19434;TRUE
"1571";507742.125;6082879;2.98726;TRUE
"1572";507740.84375;6082879.5;2.9511;TRUE
"1573";507742.96875;6082880.5;2.96938;TRUE
"1574";507744.53125;6082880.5;2.91992;TRUE
"1575";507742.65625;6082880;2.96561;TRUE
"1576";507745.125;6082880.5;3.00934;TRUE
"1577";507746.3125;6082880.5;2.79566;TRUE
