ID;UTME;UTMN;clay;T_0002_0020;T_0020_0050;T_0050_0200;T_0200_2000;SOM;SOC
533;535276.12;6247884.00;11.84;10.71;11.94;28.67;36.84;2.00;1.17
535;535270.42;6247903.20;11.21;11.72;9.89;28.64;38.43;1.90;1.12
537;535264.72;6247922.30;10.71;10.31;8.98;26.53;43.57;2.00;1.17
539;535258.92;6247941.40;11.60;8.85;9.26;24.11;46.19;1.70;1.00
541;535253.22;6247960.60;12.22;9.27;8.25;20.67;49.59;1.80;1.06
543;535247.52;6247979.70;10.21;12.26;9.09;25.74;42.59;2.10;1.23
545;535241.72;6247998.90;9.28;10.70;10.09;25.08;44.95;1.90;1.12
547;535236.02;6248018.00;7.14;12.35;8.47;26.63;45.41;2.00;1.17
549;535230.31;6248037.20;8.69;10.22;12.27;25.97;42.74;2.20;1.29
551;535224.51;6248056.30;9.09;9.91;11.34;27.89;41.88;2.10;1.23
553;535218.81;6248075.50;8.05;9.38;7.54;28.95;46.08;1.90;1.12
555;535213.11;6248094.60;5.91;6.92;6.62;22.71;57.84;1.80;1.06
557;535207.31;6248113.80;7.33;6.92;7.43;26.88;51.43;1.80;1.06
559;535306.72;6247851.50;12.24;11.73;11.84;25.92;38.27;2.00;1.17
561;535301.02;6247870.60;12.23;11.31;11.11;25.18;40.27;1.90;1.12
563;535295.32;6247889.70;11.76;11.25;9.92;28.73;38.34;2.20;1.29
565;535289.52;6247908.90;10.73;11.85;8.68;27.78;40.96;2.10;1.23
567;535283.81;6247928.00;11.75;11.85;7.76;26.76;41.88;2.10;1.23
569;535278.11;6247947.20;11.10;8.25;10.08;23.12;47.45;1.80;1.06
571;535272.31;6247966.30;11.10;9.37;8.35;21.79;49.39;1.80;1.06
573;535266.61;6247985.50;11.22;10.71;9.69;23.78;44.59;2.00;1.17
575;535260.91;6248004.60;9.16;10.79;8.96;24.44;46.74;1.80;1.06
577;535255.11;6248023.80;8.16;11.33;8.27;28.06;44.18;2.00;1.17
579;535249.41;6248042.90;8.18;10.84;9.92;27.61;43.46;2.20;1.29
581;535243.71;6248062.10;10.21;10.83;11.54;25.74;41.68;2.10;1.23
583;535237.91;6248081.20;10.11;8.89;9.60;26.76;44.64;2.10;1.23
585;535232.21;6248100.30;7.93;5.39;9.66;28.38;48.63;1.70;1.00
587;535325.91;6247857.20;11.33;11.22;13.98;25.31;38.27;2.00;1.17
589;535320.11;6247876.30;9.60;12.87;8.89;24.92;43.72;2.10;1.23
591;535314.41;6247895.50;10.11;9.40;9.91;27.89;42.80;2.10;1.23
593;535308.71;6247914.60;10.62;10.83;9.70;27.17;41.57;2.10;1.23
595;535302.91;6247933.80;9.20;10.33;10.84;24.95;44.68;2.20;1.29
597;535297.21;6247952.90;9.61;10.84;8.49;21.78;49.18;2.20;1.29
599;535291.51;6247972.10;10.12;10.84;8.79;22.39;47.85;2.20;1.29
601;535285.71;6247991.20;10.63;10.33;7.77;21.47;49.69;2.20;1.29
603;535280.01;6248010.40;8.68;11.24;8.48;25.64;45.86;2.10;1.23
605;535274.31;6248029.50;7.66;10.83;9.30;26.05;46.27;2.10;1.23
607;535268.51;6248048.60;8.09;8.40;8.91;22.95;51.74;2.40;1.41
609;535262.81;6248067.80;9.61;9.92;10.53;24.85;45.09;2.20;1.29
611;535257.11;6248086.90;9.71;10.33;13.29;21.06;45.71;2.20;1.29
613;535251.31;6248106.10;8.56;9.38;8.97;24.97;48.11;1.90;1.12
