ID;UTME;UTMN;clay;T_0002_0020;T_0020_0050;T_0050_0063;T_0063_0125;T_0125_0200;T_0200_0500;T_0500_2000;SOM;SOC
269;648702.34;6132522.65;12.21;13.66;9.76;5.83;19.25;13.12;17.93;8.25;2.08;1.22
271;648687.97;6132526.95;12.88;13.63;11.14;4.46;18.44;16.02;15.68;7.75;1.93;1.13
273;648673.6;6132531.25;12.48;15.38;10.3;4.79;17.25;16.62;15.36;7.82;1.87;1.1
275;648659.23;6132535.55;13.21;14.73;10.47;4.7;16.49;16.13;16.77;7.51;2.16;1.27
277;648644.86;6132539.85;10.74;17.26;10.42;4.94;19.58;15.65;15.01;6.4;2.39;1.4
279;648630.49;6132544.14;10.66;18.76;10.48;5.31;18.95;15.09;15.18;5.57;2.57;1.51
281;648616.12;6132548.44;13.92;15.42;10.1;6.32;19.2;15.48;14.82;4.74;2.27;1.33
308;648726.79;6132499.69;12.89;12.64;9.27;4.04;18.2;17.66;16.4;8.9;2.1;1.23
310;648712.42;6132503.99;11.52;12.98;10.68;4.7;19.04;16.03;17.54;7.49;2.06;1.21
312;648698.05;6132508.28;11.6;14.24;10.35;4.97;18.37;16.78;16.45;7.25;1.96;1.15
314;648683.67;6132512.58;13.56;14.28;8.58;5.29;19.16;14.62;16.85;7.65;1.82;1.07
316;648669.3;6132516.88;12.29;14.22;9.84;6.15;19.81;14.13;16.38;7.19;1.89;1.11
318;648654.93;6132521.18;12.97;13.52;11.7;4.55;18.88;16.19;15.36;6.83;1.86;1.09
320;648640.56;6132525.47;11.71;15.51;10.68;4.86;17.85;16.45;16.19;6.76;2.03;1.19
324;648611.82;6132534.07;19.18;17.52;9.64;5.98;17.2;12.71;12.28;5.48;1.91;1.12
352;648722.49;6132485.32;12.22;11.62;4.89;6.14;24.34;15.59;17.07;8.13;2.1;1.23
354;648708.12;6132489.61;11.43;13.07;9.86;5.94;17.74;18.38;16.48;7.09;2.06;1.21
356;648693.75;6132493.91;11.03;16.23;10.32;4.83;19.03;14.95;16.57;7.04;2.2;1.29
358;648679.38;6132498.21;13.02;14.55;10.32;4.83;19.63;15.28;15.65;6.73;2.08;1.22
360;648665.01;6132502.51;11.71;16.2;6.17;6.15;19.24;15.71;17.07;7.74;2.1;1.23
362;648650.63;6132506.81;11.62;13.57;8.98;6.26;19.92;16.24;16.88;6.54;2.06;1.21
364;648636.26;6132511.1;11.72;16.21;8.94;4.78;17.37;16.7;17.63;6.65;2.16;1.27
366;648621.89;6132515.4;13.79;15.49;10.19;5.65;17.32;16.85;15.21;5.5;2.1;1.23
368;648607.52;6132519.7;14.7;16.65;7.75;6.26;17.56;14.7;15.63;6.76;2.18;1.28
372;648736.86;6132481.02;10.12;13.65;8.94;4.25;19.21;16.37;20.17;7.29;1.86;1.09
396;648718.19;6132470.95;10.95;13.61;9.12;3.89;20.49;16.32;17.92;7.68;2.32;1.36
398;648703.82;6132475.24;10.28;17.07;6.54;5.73;19.46;16.46;16.65;7.8;2.5;1.47
400;648689.45;6132479.54;11.67;12.94;9.33;6.42;20.07;15.02;17.23;7.32;2.47;1.45
402;648675.08;6132483.84;10.32;17.13;6.78;4.32;19.24;15.09;19.39;7.74;2.84;1.67
404;648660.71;6132488.14;11.62;13.57;9.53;5.67;19.9;15.87;16.48;7.37;2.08;1.22
406;648646.34;6132492.43;11.62;14.25;9.18;4.21;19.37;16.52;17.09;7.75;2.08;1.22
408;648631.97;6132496.73;13.28;15.31;8.18;6.15;20.16;13.66;16.78;6.49;2.06;1.21
410;648617.59;6132501.03;13.01;16.96;9.1;4.92;15.09;14.14;19.08;7.7;2.13;1.25
415;648732.56;6132466.65;10.36;15.59;6.23;4.94;19.95;15.51;19.29;8.14;2.35;1.38
